********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : cvd                                                                         *
* Commserver : :                                                                           *
* Version    : 11.2801.20                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][UpdateADUserInfo]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Not adding task [CVD PeriodicTask][SqlServerStatistics]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::freeCbFuncs() - [CVD PeriodicTask][SqlServerStatistics] Successfully unloaded library [C:\Program Files\Metallic\ContentStore\Base\CvLibCS.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][CvSearchEngineOperation] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\CvSearchOperation.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][CvSearchEngineOperation]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][RetentionTaskOnCS] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\LibSnooper.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][RetentionTaskOnCS]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][ProtectDRBackup] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\CvDLPDrivercallback.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][ProtectDRBackup]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Not adding task [CVD PeriodicTask][AutoHealTempDb]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::freeCbFuncs() - [CVD PeriodicTask][AutoHealTempDb] Successfully unloaded library [C:\Program Files\Metallic\ContentStore\Base\EvExternal.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Not adding task [CVD PeriodicTask][AutoHealTempDbSpaceCheck]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::freeCbFuncs() - [CVD PeriodicTask][AutoHealTempDbSpaceCheck] Successfully unloaded library [C:\Program Files\Metallic\ContentStore\Base\EvExternal.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Not adding task [CVD PeriodicTask][AWSMarketplace]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::freeCbFuncs() - [CVD PeriodicTask][AWSMarketplace] Successfully unloaded library [C:\Program Files\Metallic\ContentStore\Base\cvAwsUsage.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][CvSearchTask] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\CvSearchOperation.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][CvSearchTask]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][CvContentIndexingSpaceCheckTask] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\CvSearchOperation.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][CvContentIndexingSpaceCheckTask]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][CvDM2SpaceCheckTask] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\CvSearchOperation.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][CvDM2SpaceCheckTask]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][CommservReportContent] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\CommservSurveyUtility.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][CommservReportContent]
4584  c68   06/30 06:44:10 ### CvPeriodicTaskStatus::loadCbFuncs() - [CVD PeriodicTask][CommservSurvey] Successfully loaded library [C:\Program Files\Metallic\ContentStore\Base\CommservSurveyUtility.dll].
4584  c68   06/30 06:44:10 ### CvPeriodicTaskMgr::CvPeriodicTaskMgr() - Adding task [CVD PeriodicTask][CommservSurvey]
