*************************************************************************************************
* Physical Machine : SANBGW                                                                     *
* Hostname         : SanBGW                                                                     *
* Module           : InstallUpdates/RemoveUpdates                                               *
* Version          : 11.2801.0                                                                  *
* OS Type          : Microsoft Windows Server 2012 Server 4.0  (Build 9200)                     *
*************************************************************************************************
4484   3784   06/30 06:40:19 ###        Applicable       : SP2801-HotFix-100 SP2801-HotFix-1008 SP2801-HotFix-101 SP2801-HotFix-1010 SP2801-HotFix-1012 SP2801-HotFix-1015 SP2801-HotFix-1019 SP2801-HotFix-1020 SP2801-HotFix-1025 SP2801-HotFix-1026 SP2801-HotFix-1028 SP2801-HotFix-1038 SP2801-HotFix-1039 SP2801-HotFix-1041 SP2801-HotFix-1042 SP2801-HotFix-1048 SP2801-HotFix-106 SP2801-HotFix-1069 SP2801-HotFix-1074 SP2801-HotFix-1075 SP2801-HotFix-1076 SP2801-HotFix-1078 SP2801-HotFix-1087 SP2801-HotFix-1147 SP2801-HotFix-1149 SP2801-HotFix-1151 SP2801-HotFix-1156 SP2801-HotFix-1163 SP2801-HotFix-1165 SP2801-HotFix-1176 SP2801-HotFix-1186 SP2801-HotFix-1190 SP2801-HotFix-1194 SP2801-HotFix-1197 SP2801-HotFix-1199 SP2801-HotFix-1200 SP2801-HotFix-1208 SP2801-HotFix-1210 SP2801-HotFix-1211 SP2801-HotFix-1213 SP2801-HotFix-1214 SP2801-HotFix-1217 SP2801-HotFix-1218 SP2801-HotFix-1220 SP2801-HotFix-1222 SP2801-HotFix-1228 SP2801-HotFix-1233 SP2801-HotFix-1236 SP2801-HotFix-124 SP2801-HotFix-1241 SP2801-HotFix-1242 SP2801-HotFix-1244 SP2801-HotFix-1245 SP2801-HotFix-125 SP2801-HotFix-1253 SP2801-HotFix-1254 SP2801-HotFix-1255 SP2801-HotFix-1259 SP2801-HotFix-1260 SP2801-HotFix-1276 SP2801-HotFix-1280 SP2801-HotFix-1282 SP2801-HotFix-1284 SP2801-HotFix-13 SP2801-HotFix-130 SP2801-HotFix-1305 SP2801-HotFix-131 SP2801-HotFix-1311 SP2801-HotFix-1312 SP2801-HotFix-1320 SP2801-HotFix-1323 SP2801-HotFix-1329 SP2801-HotFix-1331 SP2801-HotFix-1332 SP2801-HotFix-1333 SP2801-HotFix-1335 SP2801-HotFix-1346 SP2801-HotFix-1350 SP2801-HotFix-1356 SP2801-HotFix-1358 SP2801-HotFix-1364 SP2801-HotFix-1376 SP2801-HotFix-1379 SP2801-HotFix-1383 SP2801-HotFix-1385 SP2801-HotFix-1386 SP2801-HotFix-1390 SP2801-HotFix-1397 SP2801-HotFix-1416 SP2801-HotFix-1431 SP2801-HotFix-1442 SP2801-HotFix-1443 SP2801-HotFix-1445 SP2801-HotFix-1451 SP2801-HotFix-1456 SP2801-HotFix-1457 SP2801-HotFix-1459 SP2801-HotFix-1463 SP2801-HotFix-1467 SP2801-HotFix-1469 SP2801-HotFix-147 SP2801-HotFix-1493 SP2801-HotFix-1499 SP2801-HotFix-1508 SP2801-HotFix-1510 SP2801-HotFix-1512 SP2801-HotFix-1522 SP2801-HotFix-1527 SP2801-HotFix-1530 SP2801-HotFix-1538 SP2801-HotFix-1549 SP2801-HotFix-1555 SP2801-HotFix-1559 SP2801-HotFix-1563 SP2801-HotFix-1564 SP2801-HotFix-1565 SP2801-HotFix-1567 SP2801-HotFix-1569 SP2801-HotFix-1571 SP2801-HotFix-1583 SP2801-HotFix-1612 SP2801-HotFix-1616 SP2801-HotFix-1618 SP2801-HotFix-1626 SP2801-HotFix-1628 SP2801-HotFix-1636 SP2801-HotFix-1641 SP2801-HotFix-1645 SP2801-HotFix-165 SP2801-HotFix-1656 SP2801-HotFix-166 SP2801-HotFix-1663 SP2801-HotFix-1664 SP2801-HotFix-1671 SP2801-HotFix-1674 SP2801-HotFix-1679 SP2801-HotFix-1682 SP2801-HotFix-1691 SP2801-HotFix-1697 SP2801-HotFix-1700 SP2801-HotFix-1701 SP2801-HotFix-1702 SP2801-HotFix-1707 SP2801-HotFix-1711 SP2801-HotFix-1712 SP2801-HotFix-1714 SP2801-HotFix-1719 SP2801-HotFix-1721 SP2801-HotFix-1729 SP2801-HotFix-173 SP2801-HotFix-1731 SP2801-HotFix-1749 SP2801-HotFix-1755 SP2801-HotFix-1760 SP2801-HotFix-1763 SP2801-HotFix-1764 SP2801-HotFix-1765 SP2801-HotFix-1766 SP2801-HotFix-1771 SP2801-HotFix-1775 SP2801-HotFix-1779 SP2801-HotFix-1798 SP2801-HotFix-1817 SP2801-HotFix-182 SP2801-HotFix-1821 SP2801-HotFix-1823 SP2801-HotFix-1825 SP2801-HotFix-1832 SP2801-HotFix-1834 SP2801-HotFix-1844 SP2801-HotFix-1848 SP2801-HotFix-1853 SP2801-HotFix-1855 SP2801-HotFix-186 SP2801-HotFix-1862 SP2801-HotFix-1875 SP2801-HotFix-188 SP2801-HotFix-1885 SP2801-HotFix-1889 SP2801-HotFix-1891 SP2801-HotFix-1893 SP2801-HotFix-1900 SP2801-HotFix-1906 SP2801-HotFix-1908 SP2801-HotFix-1910 SP2801-HotFix-1911 SP2801-HotFix-1919 SP2801-HotFix-1924 SP2801-HotFix-1933 SP2801-HotFix-1939 SP2801-HotFix-1949 SP2801-HotFix-195 SP2801-HotFix-1957 SP2801-HotFix-1958 SP2801-HotFix-1968 SP2801-HotFix-1980 SP2801-HotFix-1996 SP2801-HotFix-2024 SP2801-HotFix-2026 SP2801-HotFix-2045 SP2801-HotFix-2066 SP2801-HotFix-2069 SP2801-HotFix-2087 SP2801-HotFix-2098 SP2801-HotFix-2103 SP2801-HotFix-2105 SP2801-HotFix-211 SP2801-HotFix-2117 SP2801-HotFix-2119 SP2801-HotFix-212 SP2801-HotFix-2121 SP2801-HotFix-2122 SP2801-HotFix-2123 SP2801-HotFix-2126 SP2801-HotFix-2127 SP2801-HotFix-2131 SP2801-HotFix-2139 SP2801-HotFix-214 SP2801-HotFix-2140 SP2801-HotFix-2141 SP2801-HotFix-2144 SP2801-HotFix-2149 SP2801-HotFix-215 SP2801-HotFix-2150 SP2801-HotFix-2152 SP2801-HotFix-216 SP2801-HotFix-2163 SP2801-HotFix-2168 SP2801-HotFix-2170 SP2801-HotFix-2179 SP2801-HotFix-218 SP2801-HotFix-2180 SP2801-HotFix-2181 SP2801-HotFix-219 SP2801-HotFix-2192 SP2801-HotFix-2194 SP2801-HotFix-22 SP2801-HotFix-2201 SP2801-HotFix-2202 SP2801-HotFix-2204 SP2801-HotFix-2205 SP2801-HotFix-2212 SP2801-HotFix-2214 SP2801-HotFix-2216 SP2801-HotFix-2217 SP2801-HotFix-2221 SP2801-HotFix-2227 SP2801-HotFix-2228 SP2801-HotFix-2231 SP2801-HotFix-2234 SP2801-HotFix-2238 SP2801-HotFix-2244 SP2801-HotFix-2257 SP2801-HotFix-2258 SP2801-HotFix-2267 SP2801-HotFix-2286 SP2801-HotFix-230 SP2801-HotFix-246 SP2801-HotFix-25 SP2801-HotFix-26 SP2801-HotFix-260 SP2801-HotFix-262 SP2801-HotFix-264 SP2801-HotFix-265 SP2801-HotFix-27 SP2801-HotFix-273 SP2801-HotFix-279 SP2801-HotFix-28 SP2801-HotFix-289 SP2801-HotFix-296 SP2801-HotFix-306 SP2801-HotFix-310 SP2801-HotFix-311 SP2801-HotFix-313 SP2801-HotFix-32 SP2801-HotFix-327 SP2801-HotFix-332 SP2801-HotFix-343 SP2801-HotFix-344 SP2801-HotFix-347 SP2801-HotFix-350 SP2801-HotFix-370 SP2801-HotFix-38 SP2801-HotFix-380 SP2801-HotFix-385 SP2801-HotFix-387 SP2801-HotFix-396 SP2801-HotFix-399 SP2801-HotFix-40 SP2801-HotFix-404 SP2801-HotFix-405 SP2801-HotFix-413 SP2801-HotFix-414 SP2801-HotFix-417 SP2801-HotFix-421 SP2801-HotFix-422 SP2801-HotFix-423 SP2801-HotFix-425 SP2801-HotFix-43 SP2801-HotFix-435 SP2801-HotFix-436 SP2801-HotFix-446 SP2801-HotFix-45 SP2801-HotFix-450 SP2801-HotFix-460 SP2801-HotFix-469 SP2801-HotFix-477 SP2801-HotFix-481 SP2801-HotFix-485 SP2801-HotFix-486 SP2801-HotFix-488 SP2801-HotFix-489 SP2801-HotFix-5 SP2801-HotFix-508 SP2801-HotFix-512 SP2801-HotFix-513 SP2801-HotFix-515 SP2801-HotFix-517 SP2801-HotFix-540 SP2801-HotFix-544 SP2801-HotFix-552 SP2801-HotFix-560 SP2801-HotFix-561 SP2801-HotFix-562 SP2801-HotFix-575 SP2801-HotFix-577 SP2801-HotFix-581 SP2801-HotFix-587 SP2801-HotFix-6 SP2801-HotFix-61 SP2801-HotFix-614 SP2801-HotFix-622 SP2801-HotFix-623 SP2801-HotFix-626 SP2801-HotFix-631 SP2801-HotFix-632 SP2801-HotFix-636 SP2801-HotFix-639 SP2801-HotFix-640 SP2801-HotFix-642 SP2801-HotFix-646 SP2801-HotFix-648 SP2801-HotFix-649 SP2801-HotFix-653 SP2801-HotFix-654 SP2801-HotFix-656 SP2801-HotFix-666 SP2801-HotFix-67 SP2801-HotFix-674 SP2801-HotFix-677 SP2801-HotFix-683 SP2801-HotFix-688 SP2801-HotFix-695 SP2801-HotFix-701 SP2801-HotFix-705 SP2801-HotFix-708 SP2801-HotFix-716 SP2801-HotFix-727 SP2801-HotFix-729 SP2801-HotFix-733 SP2801-HotFix-734 SP2801-HotFix-743 SP2801-HotFix-745 SP2801-HotFix-762 SP2801-HotFix-768 SP2801-HotFix-771 SP2801-HotFix-776 SP2801-HotFix-781 SP2801-HotFix-792 SP2801-HotFix-80 SP2801-HotFix-823 SP2801-HotFix-824 SP2801-HotFix-829 SP2801-HotFix-842 SP2801-HotFix-844 SP2801-HotFix-845 SP2801-HotFix-849 SP2801-HotFix-851 SP2801-HotFix-857 SP2801-HotFix-858 SP2801-HotFix-859 SP2801-HotFix-874 SP2801-HotFix-882 SP2801-HotFix-896 SP2801-HotFix-897 SP2801-HotFix-899 SP2801-HotFix-9 SP2801-HotFix-908 SP2801-HotFix-91 SP2801-HotFix-920 SP2801-HotFix-926 SP2801-HotFix-927 SP2801-HotFix-928 SP2801-HotFix-93 SP2801-HotFix-934 SP2801-HotFix-94 SP2801-HotFix-940 SP2801-HotFix-941 SP2801-HotFix-942 SP2801-HotFix-943 SP2801-HotFix-95 SP2801-HotFix-950 SP2801-HotFix-952 SP2801-HotFix-953 SP2801-HotFix-959 SP2801-HotFix-96 SP2801-HotFix-973 SP2801-HotFix-98 SP2801-HotFix-980 SP2801-HotFix-989 SP2801-HotFix-99 SP2801-HotFix-990 SP2801-HotFix-996 SP2801-HotFix-998
4484   3784   06/30 06:40:19 ###      Loading Maintenance release install xml file
4484   3784   06/30 06:40:21 ###      Update SP2801-HotFix-1241 requires sql restart for binary [CvDBNativeAPI.dll] on database platforms
4484   3784   06/30 06:40:21 ###      Update SP2801-HotFix-781 requires sql restart for binary [CvDBNativeAPI.dll] on database platforms
4484   3784   06/30 06:40:21 ###      Not checking for running jobs because silent/automatic/dbonly mode is in effect
4484   3784   06/30 06:40:21 ###      Initiated an event for disabling the explorer plugin
4484   3784   06/30 06:40:21 ###      Successfully set [SOFTWARE\CommVault Systems\Galaxy\Instance001\Plugin\nPluginClientEnabled] registry to 0
4484   3784   06/30 06:40:21 ###      Stopping service redcloak...not installed [Startup State=-1]
4484   3784   06/30 06:40:21 ###      Stopping services now [Service Startup State could be: -1=(Not installed), 2=(Automatic), 3=(Manual), 4=(Disabled)]
4484   5272   06/30 06:40:21 ###      Stopping service GxMONGO...
