********************************************************************************************
* Machine    : sanbgw:SanBGW (SanBGW) (Instance001)                                        *
* IP Addrs   : 192.168.1.190                                                               *
* Module     : DLP                                                                         *
* Commserver : :                                                                           *
* Version    : 11.2801.20                                                                  *
* Date       : 2022/06/30 (Pacific Standard Time GMT-08:00)                                *
* OS Type    : Windows Server 2019 DatacenterMajor.: 6, Minor.: 2 Server 4.0  (Build 9200) *
********************************************************************************************

4464  1470  06/30 07:23:28 ### GlobalEncryption_Init(55) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.881658Z] +++ GlobalEncryption=[0xFFFFA402CBF11E48]
4464  1470  06/30 07:23:28 ### GlobalEncryption_Init(119) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.881685Z] --- GlobalEncryption=[0xFFFFA402CBF11E48], status=[0x00000000]
4464  1470  06/30 07:23:28 ### GlobalShredding_Init(35) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.881702Z] +++ GlobalShredding=[0xFFFFA402CBF11F30]
4464  1470  06/30 07:23:28 ### GlobalShredding_Init(78) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.881717Z] --- GlobalShredding=[0xFFFFA402CBF11F30], status=[0x00000000]
4464  1470  06/30 07:23:28 ### VolumeMapper_Init(32) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.881736Z] +++ VolumeMapper=[0xFFFFA402CBF11F48]
4464  1470  06/30 07:23:28 ### VolumeMapper_Init(45) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.881749Z] --- VolumeMapper=[0xFFFFA402CBF11F48]
4464  1470  06/30 07:23:28 ### GlobalContext_Init(131) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.881763Z] --- GlobalContext=[0xFFFFA402CBF11D50], status=[0x00000000]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(111) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.883752Z] +++ InstanceContext=[0xFFFF86873E33C560]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(137) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.883771Z] --- InstanceContext=[0xFFFF86873E33C560], status=[0x00000000]
4464  14b8  06/30 07:23:28 ### SerializeDDBPaths: Serializing SIDB Store list for MA [sanbgw]. Count [0/0]
4464  1470  06/30 07:23:28 ### InstanceContext_Init(111) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.883914Z] +++ InstanceContext=[0xFFFF86873E33D2E0]
4464  14b8  06/30 07:23:28 ### SerializeDDBPaths: Serialized SIDB Store list for MA [sanbgw]. Store Count [0], KeyLen [11]
4464  14b8  06/30 07:23:28 ### GetDDBPathsToProtect: Got SIDB Store list for MA [sanbgw]. Store Count [0], Uniq Path [0]. RefreshDelta [13] Mins
4464  1470  06/30 07:23:28 ### InstanceContext_Init(137) [TID=FFFFA402C6F85040, 2022/06/30 14:23:27.883931Z] --- InstanceContext=[0xFFFF86873E33D2E0], status=[0x00000000]
4464  14b8  06/30 07:23:28 ### GetMPInfoByInst: Instance [1] has [1/1] MPs.
